ticker_yf,super_cluster
# ============================================
# SUPER-CLUSTERS: Thematic correlation groups
# These capture what actually moves together
# Cap: 35% of open risk per super-cluster
# ============================================

# MEGA_TECH_AI: Big tech + AI infrastructure (high correlation)
AAPL,MEGA_TECH_AI
MSFT,MEGA_TECH_AI
GOOGL,MEGA_TECH_AI
GOOG,MEGA_TECH_AI
META,MEGA_TECH_AI
AMZN,MEGA_TECH_AI
NVDA,MEGA_TECH_AI
TSLA,MEGA_TECH_AI
PLTR,MEGA_TECH_AI
CRM,MEGA_TECH_AI
ORCL,MEGA_TECH_AI
ADBE,MEGA_TECH_AI
INTU,MEGA_TECH_AI
SNOW,MEGA_TECH_AI
NFLX,MEGA_TECH_AI
SPOT,MEGA_TECH_AI
HUBS,MEGA_TECH_AI
TEAM,MEGA_TECH_AI
DDOG,MEGA_TECH_AI
CDNS,MEGA_TECH_AI
RBLX,MEGA_TECH_AI
PATH,MEGA_TECH_AI
DUOL,MEGA_TECH_AI
CRWV,MEGA_TECH_AI
EXPN.L,MEGA_TECH_AI

# SEMIS: Semiconductors & chip infrastructure (high correlation)
AMD,SEMIS
AVGO,SEMIS
ASML,SEMIS
MU,SEMIS
KLAC,SEMIS
AMAT,SEMIS
QCOM,SEMIS
TSM,SEMIS
CAMT,SEMIS
AMKR,SEMIS
ONTO,SEMIS
RMBS,SEMIS
SMCI,SEMIS
VRT,SEMIS
FSLR,SEMIS
GLW,SEMIS
APLD,SEMIS
NVTS,SEMIS
POET,SEMIS
POWL,SEMIS

# AI_ROBOTICS: Pure-play AI & robotics (speculative, high correlation)
IONQ,AI_ROBOTICS
QBTS,AI_ROBOTICS
AIAI.L,AI_ROBOTICS
RBOT.L,AI_ROBOTICS
RCAT,AI_ROBOTICS
SOUN,AI_ROBOTICS
BBAI,AI_ROBOTICS

# ENERGY_TRADITIONAL: Oil, gas, coal (commodity cycle)
XOM,ENERGY_TRAD
CVX,ENERGY_TRAD
COP,ENERGY_TRAD
SLB,ENERGY_TRAD
NOG,ENERGY_TRAD
SHEL.L,ENERGY_TRAD
TTE.PA,ENERGY_TRAD

# ENERGY_NUCLEAR: Uranium & nuclear (emerging theme)
LEU,ENERGY_NUCLEAR
UEC,ENERGY_NUCLEAR
UUUU,ENERGY_NUCLEAR
DNN,ENERGY_NUCLEAR
OKLO,ENERGY_NUCLEAR

# ENERGY_CLEAN: Solar, storage, renewables
RUN,ENERGY_CLEAN
FLNC,ENERGY_CLEAN
EOSE,ENERGY_CLEAN
ARRY,ENERGY_CLEAN
INRG.L,ENERGY_CLEAN

# MINERS_METALS: Commodity cyclicals (high correlation)
RIO,MINERS_METALS
NUE,MINERS_METALS
HBM,MINERS_METALS
LAC,MINERS_METALS
TMC,MINERS_METALS
AGI,MINERS_METALS
CDE,MINERS_METALS
HYMC,MINERS_METALS
AMR,MINERS_METALS
GLEN.L,MINERS_METALS
AAL.L,MINERS_METALS
ANTO.L,MINERS_METALS
FCX,MINERS_METALS
MT,MINERS_METALS
MP,MINERS_METALS
REMX,MINERS_METALS
PICK,MINERS_METALS
CMOD.L,MINERS_METALS

# PHARMA_BIOTECH: Healthcare innovation
LLY,PHARMA_BIOTECH
NVO,PHARMA_BIOTECH
MRNA,PHARMA_BIOTECH
CRSP,PHARMA_BIOTECH
BEAM,PHARMA_BIOTECH
RXRX,PHARMA_BIOTECH
TMDX,PHARMA_BIOTECH
JNJ,PHARMA_BIOTECH
ABBV,PHARMA_BIOTECH
AZN.L,PHARMA_BIOTECH
GSK.L,PHARMA_BIOTECH
UNH,PHARMA_BIOTECH
ISRG,PHARMA_BIOTECH
BSX,PHARMA_BIOTECH
TMO,PHARMA_BIOTECH
ANAB,PHARMA_BIOTECH
IBRX,PHARMA_BIOTECH
RARE,PHARMA_BIOTECH
TNGX,PHARMA_BIOTECH
TWST,PHARMA_BIOTECH
ZBIO,PHARMA_BIOTECH
ROG.SW,PHARMA_BIOTECH
NOVN.SW,PHARMA_BIOTECH

# FINANCIALS: Banks, payments, fintech
JPM,FINANCIALS
BAC,FINANCIALS
COF,FINANCIALS
SCHW,FINANCIALS
STT,FINANCIALS
HOOD,FINANCIALS
SOFI,FINANCIALS
KEY,FINANCIALS
HBAN,FINANCIALS
PYPL,FINANCIALS
V,FINANCIALS
MA,FINANCIALS
SPGI,FINANCIALS
MCO,FINANCIALS
CME,FINANCIALS
ICE,FINANCIALS
BLK,FINANCIALS
MSCI,FINANCIALS
UPST,FINANCIALS
HSBA.L,FINANCIALS
LGEN.L,FINANCIALS
LLOY.L,FINANCIALS
LSEG.L,FINANCIALS
BNP.PA,FINANCIALS
SAN.PA,FINANCIALS
CS.PA,FINANCIALS

# INSURANCE: Less correlated to banking
PGR,INSURANCE
WRB,INSURANCE

# DEFENSE_AERO: Government spending theme
RTX,DEFENSE_AERO
LMT,DEFENSE_AERO
NOC,DEFENSE_AERO
KTOS,DEFENSE_AERO
AVAV,DEFENSE_AERO
RKLB,DEFENSE_AERO
JOBY,DEFENSE_AERO
LUNR,DEFENSE_AERO
HON,DEFENSE_AERO
ACHR,DEFENSE_AERO
ASTS,DEFENSE_AERO
BA.L,DEFENSE_AERO
RR.L,DEFENSE_AERO

# ELECTRIC_VEHICLES: EV theme (speculative)
TSLA,ELECTRIC_VEHICLES
LCID,ELECTRIC_VEHICLES
BYD,ELECTRIC_VEHICLES
ENVX,ELECTRIC_VEHICLES
ABAT,ELECTRIC_VEHICLES
AMPX,ELECTRIC_VEHICLES
AUR,ELECTRIC_VEHICLES

# CONSUMER_STAPLES: Defensive, low beta
PG,CONSUMER_STAPLES
PEP,CONSUMER_STAPLES
KO,CONSUMER_STAPLES
CL,CONSUMER_STAPLES
WMT,CONSUMER_STAPLES
COST,CONSUMER_STAPLES
HD,CONSUMER_STAPLES
ULVR.L,CONSUMER_STAPLES
DGE.L,CONSUMER_STAPLES
NESN.SW,CONSUMER_STAPLES
BATS.L,CONSUMER_STAPLES
IMB.L,CONSUMER_STAPLES
RKT.L,CONSUMER_STAPLES
TAP,CONSUMER_STAPLES
DRI,CONSUMER_STAPLES
TOST,CONSUMER_STAPLES

# INDUSTRIALS: Cyclicals, economic growth
UPS,INDUSTRIALS
ETN,INDUSTRIALS
CAT,INDUSTRIALS
DE,INDUSTRIALS
UNP,INDUSTRIALS
WM,INDUSTRIALS
FIX,INDUSTRIALS
SAP.DE,INDUSTRIALS
SIE.DE,INDUSTRIALS
ALV.DE,INDUSTRIALS
AIR.PA,INDUSTRIALS
CNH,INDUSTRIALS
MAN,INDUSTRIALS
MWA,INDUSTRIALS
PRIM,INDUSTRIALS
CBT,INDUSTRIALS
SSD,INDUSTRIALS
SERV,INDUSTRIALS
PSON.L,INDUSTRIALS
DCC.L,INDUSTRIALS
MNDI.L,INDUSTRIALS

# REITS_REAL_ESTATE: Rate-sensitive
VICI,REITS_REAL_ESTATE
PSA,REITS_REAL_ESTATE
ADC,REITS_REAL_ESTATE
OPEN,REITS_REAL_ESTATE
REAL,REITS_REAL_ESTATE
TWO,REITS_REAL_ESTATE

# UTILITIES: Defensive, rate-sensitive
NEE,UTILITIES
DTE,UTILITIES
CMS,UTILITIES
PPL,UTILITIES
NG.L,UTILITIES
SSE.L,UTILITIES
ENEL.MI,UTILITIES
IBE.MC,UTILITIES

# ENTERTAINMENT_TRAVEL: Discretionary consumer
TKO,ENTERTAINMENT
FUN,ENTERTAINMENT
MTN,ENTERTAINMENT
SPHR,ENTERTAINMENT
PRKS,ENTERTAINMENT
CAR,ENTERTAINMENT
TRIP,ENTERTAINMENT
VAC,ENTERTAINMENT
PK,ENTERTAINMENT
HTZ,ENTERTAINMENT

# CRYPTO: Highly correlated, volatile
MSTR,CRYPTO
IREN,CRYPTO
HIVE,CRYPTO

# CHINA_TECH: Country risk cluster
BABA,CHINA_TECH
BYD,CHINA_TECH

# UK_EUROPE_VALUE: Non-US developed (currency risk)
REL.L,UK_EUROPE
CPG.L,UK_EUROPE
SDR.L,UK_EUROPE
III.L,UK_EUROPE
MC.PA,UK_EUROPE
LVMH.PA,UK_EUROPE
OR.PA,UK_EUROPE
SU.PA,UK_EUROPE
ITX.MC,UK_EUROPE
ISP.MI,UK_EUROPE

# TELECOM: Low growth, yield
TMUS,TELECOM
TDS,TELECOM
VSAT,TELECOM

# MEDIA: News cycle risk
WBD,MEDIA
DJT,MEDIA

# COMMODITIES: Inflation hedge, uncorrelated
SGLN.L,COMMODITIES
SSLN.L,COMMODITIES
LIN,COMMODITIES

# ETF_BROAD: Diversified (low concentration risk)
VUSA.L,ETF_BROAD
VUAG.L,ETF_BROAD
EQQQ.L,ETF_BROAD
CNDX.L,ETF_BROAD
VWRL.L,ETF_BROAD
VWO,ETF_BROAD
EIMI.L,ETF_BROAD

# ETF_FACTOR: Smart beta
IWMO.L,ETF_FACTOR
IWQU.L,ETF_FACTOR
WSML.L,ETF_FACTOR
BTEE.L,ETF_FACTOR

# ETF_FIXED_INCOME: Bonds, defensive
VAGS.L,ETF_FIXED_INCOME
